sub_basin_number,basin_name,subbasin_name,subbasin,acres,sq_miles,priority,popup_html
1-014,Lower Klamath River Valley,Lower Klamath River Valley,Lower Klamath River Valley,"7,022",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Lower Klamath River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Lower Klamath River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,022</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-014</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-005,Scott River Valley,Scott River Valley,Scott River Valley,"63,831",100,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Scott River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Scott River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">63,831</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">100</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-005</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
1-017,Bray Town Area,Bray Town Area,Bray Town Area,"8,032",13,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Bray Town Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Bray Town Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">8,032</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">13</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-017</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-018,Red Rock Valley,Red Rock Valley,Red Rock Valley,"9,001",14,Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Red Rock Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Red Rock Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">9,001</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">14</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-018</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Low</td></tr></table>"
1-004,Shasta Valley,Shasta Valley,Shasta Valley,"218,215",341,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Shasta Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Shasta Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">218,215</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">341</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-004</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
1-015,Happy Camp Town Area,Happy Camp Town Area,Happy Camp Town Area,"2,773",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Happy Camp Town Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Happy Camp Town Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,773</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-015</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-001.01,Goose Lake,"Goose Lake, Goose Valley",Goose Valley,"35,954",56,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Goose Lake</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Goose Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">35,954</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">56</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-001.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-016,Seiad Valley,Seiad Valley,Seiad Valley,"2,245",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Seiad Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Seiad Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,245</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-016</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-001,Surprise Valley,Surprise Valley,Surprise Valley,"228,662",357,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Surprise Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Surprise Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">228,662</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">357</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-001</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-091,Cow Head Lake Valley,Cow Head Lake Valley,Cow Head Lake Valley,"5,617",9,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Cow Head Lake Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Cow Head Lake Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">5,617</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">9</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-091</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-001.02,Goose Lake,"Goose Lake, Fandango Valley",Fandango Valley,"18,443",29,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Goose Lake</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Fandango Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">18,443</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">29</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-001.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-002.02,Klamath River Valley,"Klamath River Valley, Lower Klamath",Lower Klamath,"75,330",118,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Klamath River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Lower Klamath</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">75,330</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">118</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-002.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-003,Butte Valley,Butte Valley,Butte Valley,"79,739",125,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Butte Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Butte Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">79,739</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">125</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-003</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
1-001,Smith River Plain,Smith River Plain,Smith River Plain,"40,434",63,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Smith River Plain</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Smith River Plain</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">40,434</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">63</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-001</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-054.01,Alexander Valley,"Alexander Valley, Alexander Area",Alexander Area,"24,484",38,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Alexander Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Alexander Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">24,484</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">38</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-054.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-022.03,San Joaquin Valley,"San Joaquin Valley, Turlock",Turlock,"348,187",544,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Joaquin Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Turlock</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">348,187</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">544</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-022.03</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
4-011.03,Coastal Plain Of Los Angeles,"Coastal Plain Of Los Angeles, West Coast",West Coast,"92,997",145,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coastal Plain Of Los Angeles</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">West Coast</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">92,997</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">145</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-011.03</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-052,Needle Rock Point,Needle Rock Point,Needle Rock Point,840,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Needle Rock Point</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Needle Rock Point</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">840</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-052</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-004.01,Salinas Valley,"Salinas Valley, 180/400 Foot Aquifer",180/400 Foot Aquifer,"89,706",140,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Salinas Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">180/400 Foot Aquifer</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">89,706</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">140</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-004.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
2-009.03,Santa Clara Valley,"Santa Clara Valley, San Mateo Plain",San Mateo Plain,"37,865",59,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Santa Clara Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">San Mateo Plain</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">37,865</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">59</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">2-009.03</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
8-009,Bear Valley,Bear Valley,Bear Valley,"19,170",30,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Bear Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Bear Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">19,170</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">30</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">8-009</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
9-004,Santa Margarita Valley,Santa Margarita Valley,Santa Margarita Valley,"5,215",8,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Santa Margarita Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Santa Margarita Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">5,215</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">8</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">9-004</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-010,Eel River Valley,Eel River Valley,Eel River Valley,"72,957",114,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Eel River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Eel River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">72,957</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">114</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-010</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
9-014,Mission Valley,Mission Valley,Mission Valley,"7,302",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Mission Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Mission Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,302</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">9-014</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-002.02,Corralitos,"Corralitos, Purisima Highlands",Purisima Highlands,"12,932",20,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Corralitos</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Purisima Highlands</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">12,932</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">20</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-002.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-002.01,Corralitos,"Corralitos, Pajaro Valley",Pajaro Valley,"75,055",117,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Corralitos</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pajaro Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">75,055</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">117</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-002.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
3-007,Carmel Valley,Carmel Valley,Carmel Valley,"4,322",7,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Carmel Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Carmel Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">4,322</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">7</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-007</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
3-004.08,Salinas Valley,"Salinas Valley, Seaside",Seaside,"14,489",23,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Salinas Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Seaside</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">14,489</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">23</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-004.08</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-022.10,San Joaquin Valley,"San Joaquin Valley, Pleasant Valley",Pleasant Valley,"48,196",75,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Joaquin Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pleasant Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">48,196</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">75</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-022.10</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
5-022.18,San Joaquin Valley,"San Joaquin Valley, White Wolf",White Wolf,"107,546",168,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Joaquin Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">White Wolf</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">107,546</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">168</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-022.18</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
5-022.17,San Joaquin Valley,"San Joaquin Valley, Kettleman Plain",Kettleman Plain,"63,755",100,Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">San Joaquin Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Kettleman Plain</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">63,755</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">100</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-022.17</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Low</td></tr></table>"
1-002.01,Klamath River Valley,"Klamath River Valley, Tulelake",Tulelake,"110,521",173,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Klamath River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Tulelake</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">110,521</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">173</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-002.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
7-024.01,Borrego Valley,"Borrego Valley, Borrego Springs",Borrego Springs,"62,749",98,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Borrego Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Borrego Springs</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">62,749</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">98</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">7-024.01</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
8-001,Coastal Plain Of Orange County,Coastal Plain Of Orange County,Coastal Plain Of Orange County,"224,226",350,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Coastal Plain Of Orange County</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Coastal Plain Of Orange County</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">224,226</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">350</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">8-001</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
6-012.02,Owens Valley,"Owens Valley, Fish Slough",Fish Slough,"3,222",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Owens Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Fish Slough</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">3,222</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-012.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
3-053,Foothill,Foothill,Foothill,"3,282",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Foothill</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Foothill</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">3,282</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">3-053</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
4-006,Pleasant Valley,Pleasant Valley,Pleasant Valley,"19,840",31,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Pleasant Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Pleasant Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">19,840</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">31</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-006</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
4-002,Ojai Valley,Ojai Valley,Ojai Valley,"5,913",9,High,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Ojai Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Ojai Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">5,913</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">9</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">4-002</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">High</td></tr></table>"
